"-- Please Select --","-- Lütfen Seçiniz --"
"%1 is required","%1 is zorunlu"
"%1 zipcode, %1","%1 posta kodu, %1"
"Actions","Actions"
"Address update failed. Please try again.","Adres güncelleme başarısız. Lütfen tekrar deneyin."
"Apply Discount Code","İndirim Kodu Kullan"
"Apply Discount","İndirimi Uygula"
"Bill Here","Bill Here"
"Billing address made same as shipping address","Fatura adresi Teslimat adresi ile aynı yapıldı"
"Billing address update failed. Please try again.","Fatura adresi güncelleme başarısız. Lütfen tekrar deneyin."
"Billing address updated successfully.","Fatura adresi başarıyla güncellendi."
"BILLING ADDRESS","FATURA ADRESİ"
"Billing Information","Fatura Bilgileri"
"Cancel","İptal"
"Cart Subtotal","Sepet Ara Toplam"
"Cart updated successfully.","Sepet başarıyla güncellendi."
"Checkout Agreements","Checkout Agreements"
"CHOOSE FROM THE ADDRESS LIST","ADRES DEFTERİNDEN SEÇ"
"City","İlçe"
"Company","Firma"
"Country","Ülke"
"Coupon code: %1 is applied successfully.","İndirim Kodu: %1 başarıyla uygulandı."
"Coupon code: %1 is invalid.","İndirim Kodu: %1 geçersiz."
"Coupon code: %1 is removed successfully.","İndirim Kodu: %1 başarıyla kaldırıldı."
"Do you already have an account?","Zaten bir hesabınız var mı?"
"Do you want to continue as guest user?","Misafir olarak devam etmek ister misiniz?"
"Edit","Düzenle"
"Email address is saved.","Email adresi kaydedildi."
"Email address update failed. Please try again.","Email adresi güncellenemedi. Lütfen tekrar deneyin."
"Email is invalid","Email geçersiz"
"Email is required","Email zorunlu"
"Email","Email"
"Enter your discount code","İndirim Kodu girin"
"First name","Ad"
"FROM ADDRESS BOOK","ADRES DEFTERİNDEN"
"I agree","Onaylıyorum"
"I will sign-in and checkout","I will sign-in and checkout"
"Item","Item"
"Last name","Soyad"
"Login failed.","Giriş başarısız."
"Login","Giriş Yap"
"MOST RECENTLY USED","MOST RECENTLY USED"
"New Address","Yeni Adres"
"NEW ADDRESS","YENİ ADRES"
"No cart items available","No cart items available"
"No payment methods available at the moment","No payment methods available at the moment"
"No shipping methods available at the moment","Şu anda uygun bir teslimat yöntemi yok"
"Order Summary","Sipariş Özeti
"Order Total","Sipariş Toplamı"
"OTHER ADDRESSES","DİĞER ADRESLER"
"Password is required","Parola zorunlu"
"Password","Parola"
"Payment method added successfully.","Ödeme yöntemi başarıyla eklendi."
"Payment method not available","Ödeme yöntemi uygun değil"
"Payment Methods","Ödeme Yöntemleri"
"phone, %1","phone, %1"
"Phone","Telefon"
"Place Order","Siparişi Tamamla"
"Please agree with the terms & conditions","Please agree with the terms & conditions"
"Please provide a shipping address first.","Lütfen önce teslimat adresi sağlayın."
"Please provide your billing address information.","Lütfen fatura adresi bilgilerini sağlayın."
"Please provide your email address.","Lütfen Email adresi sağlayın."
"Please provide your login details.","Lütfen giriş bilgilerini sağlayın."
"Please provide your shipping address information.","Lütfen teslimat adresi bilgilerini sağlayın."
"Please select your payment method.","Lütfen ödeme yöntemi seçin."
"Please select your shipping method.","Lütfen teslimat yöntemi seçin."
"Postal Code","Posta Kodu"
"Price, %1","Fiyat, %1"
"Price","Fiyat"
"Product Details","Ürün Detayları"
"Qty","Adet"
"Remove Coupon Code","Kupon Kodunu Kaldır"
"REMOVE","KALDIR"
"Required","Zorunlu"
"Save in address book","Save in address book"
"Save","Kaydet"
"SELECTED ADDRESS","SEÇİLİ ADRES"
"Selected shipping method is not available due to the shipping address change. Please select from the available methods.","Selected shipping method is not available due to the shipping address change. Please select from the available methods."
"Ship Here","Ship Here"
"Shipping address update failed. Please try again","Teslimat adresi güncelleme başarısız. Lütfen tekrar deneyin"
"Shipping address updated successfully.","Teslimat adresi başarıyla güncellendi."
"SHIPPING ADDRESS","TESLİMAT ADRESİ"
"Shipping Information","Teslimat Bilgileri"
"Shipping method not available","Teslimat yöntemi uygun değil"
"Shipping method updated successfully.","Shipping method updated successfully."
"Shipping Methods","Teslimat Yöntemi"
"Shipping","Teslimat"
"Sign In","Giriş Yap"
"Something went wrong while adding the payment method to the quote.","Sepetinize ödeme yöntemi setlenirken bir terslik oldu."
"Something went wrong while updating shipping method","Teslimat yöntemi güncellenirken bir terslik oldu"
"Something went wrong while updating the cart item.","Sepet ürünü güncellenirken bir terslik oldu."
"State","İl"
"Street","Street"
"Subtotal","Ara Toplam"
"Total","Toplam"
"Update","Güncelle"
"Use this address as my billing address","Bu adresi fatura adresim olarak kullan"
"Your checkout details are not valid. Please verify your details.","Sipariş tamamlama bilgileriniz geçerli değil. Lütfen bilgileri gözden geçirin."
"Zipcode","Posta Kodu"
